pair,token_a,token_b,ic,adf_stat,cointegrated,corr_logp
ATA-STORJ,ATA,STORJ,-0.32503651886816287,-7.097164838838334,True,0.9928692543424799
ANKR-STORJ,ANKR,STORJ,-0.3211995044052625,-7.967736163440047,True,0.9942532652219996
STORJ-ENJ,STORJ,ENJ,-0.30762721772516866,-6.677062312654252,True,0.9906450377112994
ONT-ATA,ONT,ATA,-0.3019864208221949,-6.0059809865151745,True,0.9918883320727846
DOT-ZRX,DOT,ZRX,-0.27099947399538615,-5.824690287231836,True,0.9887339557998283
ONT-ONE,ONT,ONE,-0.2707515577215975,-5.593110558484842,True,0.9916624062754866
ONT-STORJ,ONT,STORJ,-0.26753599104807213,-7.364716499187632,True,0.9927691572107968
CTSI-SUSHI,CTSI,SUSHI,-0.26229791440788264,-5.48809785530263,True,0.9759412494521191
ONT-ZIL,ONT,ZIL,-0.2588516457045375,-5.632755902228589,True,0.9888383604922341
ANKR-ENJ,ANKR,ENJ,-0.25815492776051924,-6.370596232508824,True,0.9914043459213892
STORJ-ONE,STORJ,ONE,-0.24194483486752877,-6.663008419569702,True,0.9922135571145421
ONT-ZRX,ONT,ZRX,-0.23559910339561788,-5.726965955506639,True,0.9876913499865694
BAND-ONT,BAND,ONT,-0.23477391034901393,-5.541007556905747,True,0.9874014102726201
ANKR-ONT,ANKR,ONT,-0.22598016133571172,-5.907107932561293,True,0.9913651629926353
ADA-CTSI,ADA,CTSI,-0.20152392519723977,-5.732525356741281,True,0.9687054276097931
ZIL-ONE,ZIL,ONE,-0.18784378765307477,-5.746708966212573,True,0.9924461188622069
ZIL-STORJ,ZIL,STORJ,-0.1836664594194217,-6.1387832462851675,True,0.9882842334877755
ANKR-CELR,ANKR,CELR,-0.18296472718042114,-5.644031212616564,True,0.9919462400450443
ANKR-ATA,ANKR,ATA,-0.12852854628443658,-5.920035218084325,True,0.9941104596226442
ENJ-CELR,ENJ,CELR,-0.12482329643537664,-5.5966595012203895,True,0.991322647868298
